ProductKey,Target,Model,MAE,RMSE,R2
587,TotalSalesQuantity,Prophet,10.551043563211234,14.660973175682717,-0.1644556362600082
587,TotalSalesQuantity,LightGBM,9.440474604553996,12.478583813683333,0.1564167464616034
1106,TotalSalesAmount,Prophet,8077.788582583236,10186.585216386617,-0.0123189883245358
1106,TotalSalesAmount,LightGBM,7014.91235310901,9499.62465582309,0.1196141984851789
1106,TotalSalesQuantity,Prophet,25.936271457666408,32.75807151635879,-0.009924346725743
1106,TotalSalesQuantity,LightGBM,22.160643233573264,29.72439982658331,0.1684691285561278
678,TotalSalesAmount,Prophet,2345.2611433624747,3138.7529403848694,-0.0025946709626856
678,TotalSalesAmount,LightGBM,2019.193950974515,3041.894480296135,0.0583285220080571
678,TotalSalesQuantity,Prophet,26.87420065792995,35.879877088147374,0.002626349877327
678,TotalSalesQuantity,LightGBM,22.99003732223872,34.82917527114951,0.0601849863459754
1043,TotalSalesAmount,Prophet,2903.273063234424,3816.0761884128015,-0.1051326880370195
1043,TotalSalesAmount,LightGBM,2362.158799553172,3055.7906620565227,0.2913569208985478
1043,TotalSalesQuantity,Prophet,13.55168750790589,17.933947547674432,-0.1074703307548685
1043,TotalSalesQuantity,LightGBM,10.438272321248837,13.64739163638215,0.3586728600102334
128,TotalSalesAmount,Prophet,3753.9156803603446,5571.42773754165,-0.0279616921591716
128,TotalSalesAmount,LightGBM,3266.072845510579,5407.683288960091,0.0315740385879448
128,TotalSalesQuantity,Prophet,27.863549440729784,42.23521503463343,-0.036956413697488
128,TotalSalesQuantity,LightGBM,23.695722452923867,39.76501609539385,0.0807928201899718
368,TotalSalesAmount,Prophet,19922.08395117553,26549.76973302532,-0.0167200316832425
368,TotalSalesAmount,LightGBM,16759.319099310116,25799.56808958442,0.0399259446328277
368,TotalSalesQuantity,Prophet,16.163650820093263,21.56483275923928,-0.0218607434386193
368,TotalSalesQuantity,LightGBM,13.820970225910743,20.95395610126461,0.0352126824672057
367,TotalSalesAmount,Prophet,12948.528652168114,16004.178072988654,-0.0408408779327489
367,TotalSalesAmount,LightGBM,10640.013948962209,14147.678098427092,0.1866304122120747
367,TotalSalesQuantity,Prophet,41.10055702661781,51.40408777628157,-0.0322403139046174
367,TotalSalesQuantity,LightGBM,34.20616991595005,46.18781665476239,0.1666251888900817
2203,TotalSalesAmount,Prophet,2876.589705834111,3670.1835238135545,-0.0419996173590861
2203,TotalSalesAmount,LightGBM,2091.0886764575885,3133.82255428795,0.2403023189721784
2203,TotalSalesQuantity,Prophet,29.55173734285981,37.9017954381314,-0.0393300594456171
2203,TotalSalesQuantity,LightGBM,22.18711859412912,31.68574441732296,0.2736235572877921
599,TotalSalesAmount,Prophet,21395.746898592737,29611.6886839025,-0.0182428257841793
599,TotalSalesAmount,LightGBM,18854.81629432767,26102.97066313021,0.2087661117167233
599,TotalSalesQuantity,Prophet,9.880623875914136,13.581445246679372,-0.0056206371284699
599,TotalSalesQuantity,LightGBM,8.75987363153139,12.052534032931788,0.2080478612803521
2103,TotalSalesAmount,Prophet,7010.396737440455,10435.661051742029,-0.2220455325782071
2103,TotalSalesAmount,LightGBM,6713.796937510014,9842.747127302731,-0.0871265776907848
2103,TotalSalesQuantity,Prophet,14.540900091770308,21.85807819141339,-0.225219184170516
2103,TotalSalesQuantity,LightGBM,13.48439151396414,19.96208916044715,-0.0218845190983409
1755,TotalSalesAmount,Prophet,2634.3440878866604,3304.364243358182,-0.1935737201118355
1755,TotalSalesAmount,LightGBM,1850.0321172546985,2831.480022059646,0.1236039257536181
1755,TotalSalesQuantity,Prophet,41.05589614417603,53.026183223539554,-0.1406717357597373
1755,TotalSalesQuantity,LightGBM,29.277125035649128,45.600248711300615,0.1564431294256042
1072,TotalSalesAmount,Prophet,4924.723774843124,6989.7866303599785,-0.2230703166666101
1072,TotalSalesAmount,LightGBM,4220.159088566982,5696.826696530532,0.1875631667506714
1072,TotalSalesQuantity,Prophet,12.20429772706556,17.29692056952718,-0.2279759792990625
1072,TotalSalesQuantity,LightGBM,9.90614744372022,13.633718215914111,0.2370766329698396
169,TotalSalesAmount,Prophet,1631.8896373536609,2586.121495335376,-0.3492335520341183
169,TotalSalesAmount,LightGBM,1338.6835479356785,2268.8562830942105,-0.0384922468047812
169,TotalSalesQuantity,Prophet,14.280155189887456,22.51655552022732,-0.3500473253130507
169,TotalSalesQuantity,LightGBM,11.3623500903057,19.464835233746967,-0.0088963403974307
1519,TotalSalesAmount,Prophet,2791.9018968532764,4020.602382934233,-0.0548403442166092
1519,TotalSalesAmount,LightGBM,2917.386607480678,4420.41990015041,-0.2750626700599419
1519,TotalSalesQuantity,Prophet,9.51265667561325,13.336809737164948,-0.0594185802508449
1519,TotalSalesQuantity,LightGBM,9.407739715600254,14.02145319937291,-0.1709806746301199
437,TotalSalesAmount,Prophet,7044.07998651382,11811.99466383418,-0.1720042716407457
437,TotalSalesAmount,LightGBM,6523.519015246751,10458.04118165179,0.0812795031209805
437,TotalSalesQuantity,Prophet,14.913962462237562,25.047899008888127,-0.1808867256495951
437,TotalSalesQuantity,LightGBM,13.713682248131745,21.574395377014675,0.1239217458960171
2151,TotalSalesAmount,Prophet,4382.925903613029,5659.688299645025,0.010842866641502
2151,TotalSalesAmount,LightGBM,3459.598971729,5495.7556735699245,0.0673147816692277
2151,TotalSalesQuantity,Prophet,35.56569371442,46.2289372577462,0.0080871719418655
2151,TotalSalesQuantity,LightGBM,27.72519043907609,44.1341772402438,0.0959431169563514
597,TotalSalesAmount,Prophet,4094.452823136467,5117.296669004447,0.0010034357483439
597,TotalSalesAmount,LightGBM,3361.0611960504493,5024.550557439818,0.0368870003632905
597,TotalSalesQuantity,Prophet,30.82723958008433,39.16316708789897,0.0049077271630423
597,TotalSalesQuantity,LightGBM,25.037569443982694,36.76694594641664,0.1229530229509795
1297,TotalSalesAmount,Prophet,409.8318665358889,495.4560369127291,-0.4090013214647732
1297,TotalSalesAmount,LightGBM,255.90378981124712,350.4151224219898,0.2951984802152005
1297,TotalSalesQuantity,Prophet,21.92857784342184,25.30477984113084,-1.043915194191741
1297,TotalSalesQuantity,LightGBM,10.22431804403626,14.302232588601749,0.3470718113284156
1282,TotalSalesAmount,Prophet,676.4867571490403,947.8433449717024,-0.0443207137284111
1282,TotalSalesAmount,LightGBM,600.2988643378301,913.0874873047252,0.0308621741093472
1282,TotalSalesQuantity,Prophet,28.634555520729467,40.2045939919187,-0.0474936126117429
1282,TotalSalesQuantity,LightGBM,23.589779348714583,36.697610860780166,0.1272786426575828
2395,TotalSalesAmount,Prophet,4796.895827627468,6170.321806535309,0.0152039162688802
2395,TotalSalesAmount,LightGBM,4167.926666366026,6112.712948597338,0.0335070574499707
2395,TotalSalesQuantity,Prophet,25.40253635611716,33.28572084162083,0.0040538284388795
2395,TotalSalesQuantity,LightGBM,21.92945742075459,32.65033325943431,0.0417139406585367
1589,TotalSalesAmount,Prophet,313.5833550367866,459.5054753126611,-0.0324298123369679
1589,TotalSalesAmount,LightGBM,269.208047337723,414.9182617588386,0.1582090449324612
1589,TotalSalesQuantity,Prophet,33.29276774314846,49.84124550716681,-0.0381295789873814
1589,TotalSalesQuantity,LightGBM,27.75151851410685,44.49426349367127,0.1726641625360602
1508,TotalSalesAmount,Prophet,4194.955966232724,6109.606540252733,-0.0753858023463585
1508,TotalSalesAmount,LightGBM,3507.916815518439,5238.228457035869,0.2094912442329024
1508,TotalSalesQuantity,Prophet,14.781730799151882,21.433606986624703,-0.0728817971691508
1508,TotalSalesQuantity,LightGBM,11.834409603196995,17.767343579291346,0.2627643088820345
124,TotalSalesAmount,Prophet,3338.619900610589,4540.759956511104,-0.0156359287426406
124,TotalSalesAmount,LightGBM,3039.374963710781,3914.939557731998,0.2450275724765992
124,TotalSalesQuantity,Prophet,12.591456783720414,17.47538705315209,-0.0227789000585276
124,TotalSalesQuantity,LightGBM,11.025616733687883,14.731918901856936,0.2731466576391711
1317,TotalSalesAmount,Prophet,349.4106287395447,497.257008810457,-0.1164953308828848
1317,TotalSalesAmount,LightGBM,316.87513269357305,489.11394843746666,-0.0802273802509123
1317,TotalSalesQuantity,Prophet,28.049960717172777,40.15549023589354,-0.1188296686731054
1317,TotalSalesQuantity,LightGBM,25.123278963233545,38.81207083730487,-0.0452200700397713
1613,TotalSalesAmount,Prophet,2733.5479585797225,3756.7623211040313,-0.0165522810015317
1613,TotalSalesAmount,LightGBM,2491.1719400791058,3711.334084931559,0.0078841665654632
1613,TotalSalesQuantity,Prophet,26.31581095394636,37.19302296797013,-0.0186194719710526
1613,TotalSalesQuantity,LightGBM,22.68087049907228,35.56398192521131,0.068656733525696
1088,TotalSalesAmount,Prophet,5393.721754158356,8743.796514825503,-0.1822701389098446
1088,TotalSalesAmount,LightGBM,5465.432243412452,8235.048967194885,-0.0486945428072549
1088,TotalSalesQuantity,Prophet,8.413206816529488,13.95208289580755,-0.1905929052751769
1088,TotalSalesQuantity,LightGBM,8.131189675063922,12.381231380924174,0.0624102001564172
1949,TotalSalesAmount,Prophet,3131.7188389234025,4379.191130741265,-0.0472058744102075
1949,TotalSalesAmount,LightGBM,3184.834744462125,4263.758268073246,0.0072739507604207
1949,TotalSalesQuantity,Prophet,11.595108222553044,16.234744734904766,-0.0534021359835157
1949,TotalSalesQuantity,LightGBM,11.452101955166707,15.337541181767325,0.0598119012478094
386,TotalSalesAmount,Prophet,22058.740473166104,27950.69521917893,-0.215468195638997
386,TotalSalesAmount,LightGBM,17053.342506414636,26141.086511936443,-0.0631771619698038
386,TotalSalesQuantity,Prophet,17.22299730417958,21.91081105069561,-0.2194095333448542
386,TotalSalesQuantity,LightGBM,13.440235571588126,20.53580862294468,-0.0711648067113206
167,TotalSalesAmount,Prophet,1847.5293689260789,2627.084213130285,-0.0477091582778728
167,TotalSalesAmount,LightGBM,1627.0980828472048,2696.4516623809104,-0.1037685861520019
167,TotalSalesQuantity,Prophet,28.261899414973183,40.185778322575125,-0.0479873665500936
167,TotalSalesQuantity,LightGBM,23.710065042304603,39.97219814760765,-0.0368772411200419
2180,TotalSalesAmount,Prophet,4039.472241127032,5548.515317366431,-0.0098844711617447
2180,TotalSalesAmount,LightGBM,3628.2041399531854,5017.676476100692,0.1741076802647037
2180,TotalSalesQuantity,Prophet,28.35011264875603,39.36390919611773,-0.0114600565467151
2180,TotalSalesQuantity,LightGBM,25.12411113367956,35.19386313167061,0.1914885482643574
1514,TotalSalesAmount,Prophet,2987.1870431268976,4196.592922082377,-0.0661485052226149
1514,TotalSalesAmount,LightGBM,2892.698927387297,3977.546788063369,0.0422446013971591
1514,TotalSalesQuantity,Prophet,15.23591319275788,21.220935239288018,-0.0604506491461096
